,artist_name,track_name,track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Jason Aldean,Dirt Road Anthem,2qYsSHsYkihWx043HVJQRV,0.347,0.68,229400,0.741,1.87e-06,2,0.117,-5.055,1,0.0357,127.024,4,0.635
1,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,0.432,0.715,203173,0.584,1.41e-06,8,0.095,-8.231,1,0.0296,90.99,4,0.609
2,Cody Jinks,Hippies and Cowboys,72Fnsr9pkCyXCmY3BS7sbx,0.0504,0.698,300680,0.586,0.0,5,0.295,-5.066,1,0.0278,115.081,4,0.623
3,The Band Perry,If I Die Young,4u26EevCNXMhlvE1xFBJwX,0.348,0.606,222773,0.497,0.0,4,0.275,-6.611,1,0.0277,130.739,4,0.362
4,Zac Brown Band,Colder Weather,23hDnIFoFlVTDA6y8YrJoR,0.455,0.667,273893,0.381,0.0,3,0.116,-7.494,1,0.0294,135.975,4,0.199
5,Lady A,Need You Now,11EX5yhxr9Ihl3IN1asrfK,0.0927,0.587,277573,0.622,0.000636,4,0.2,-5.535,1,0.0303,107.943,4,0.231
6,Rodney Atkins,Farmer's Daughter,5zGqTc1WQUe8XqqdnrpKTV,0.224,0.612,207040,0.791,0.0,6,0.112,-3.519,1,0.0291,133.977,4,0.786
7,Alan Jackson,It's Five O'Clock Somewhere,5oHHMDcVOmPSFrCgdbHPdb,0.208,0.713,230133,0.772,0.0,2,0.211,-6.69,1,0.0372,125.202,4,0.88
8,Josh Turner,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,0.42,0.677,192800,0.776,0.000689,5,0.0954,-5.933,1,0.0386,121.834,4,0.642
9,Jason Aldean,My Kinda Party,215FCyLSBcXeX0NASXEjyn,0.0167,0.41,284960,0.9,1.09e-05,0,0.339,-4.249,0,0.0656,176.962,4,0.558
10,Brantley Gilbert,Kick It In The Sticks,01ZepwW5W3Z4fwl4bzaHyY,0.00507,0.493,225747,0.843,0.0,8,0.13,-5.924,0,0.0707,158.028,4,0.523
11,Sugarland,Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,0.329,0.702,247587,0.795,0.0,1,0.0505,-4.764,1,0.0568,83.961,4,0.836
12,Lady A,American Honey,4xInIiKipU1mtUogJ3ZdYr,0.508,0.588,224867,0.684,0.0,1,0.141,-5.154,1,0.0288,85.997,4,0.121
13,Lee Brice,Love Like Crazy,6Ozp6ac86CSHMik8lbvJuM,0.0203,0.535,217387,0.725,1.45e-05,10,0.176,-5.108,1,0.0275,78.489,4,0.292
14,Brad Paisley,Whiskey Lullaby (feat. Alison Krauss),4BXkf6yww23Vdju7E1fUrn,0.74,0.587,259453,0.35,0.0,2,0.156,-10.954,1,0.0318,74.479,4,0.17
15,Billy Currington,Pretty Good At Drinkin' Beer,6a7wXoZOARI8IqEXObjhDz,0.427,0.769,179907,0.678,8.04e-06,5,0.0939,-3.725,1,0.0315,106.951,4,0.581
16,Zac Brown Band,As She's Walking Away (feat. Alan Jackson),34bqWuFJ4X1A3vCObPSNHD,0.479,0.553,223827,0.619,0.0,3,0.123,-7.101,1,0.0308,183.908,4,0.376
17,Jason Aldean,Fly Over States,17X2tSzibD9n9QRjdExcWT,0.069,0.487,218200,0.736,0.0,7,0.114,-3.269,1,0.0326,81.587,4,0.184
18,Kenny Chesney,You and Tequila,1t2hJFgJyUPD2crOafMUEk,0.437,0.691,242840,0.454,0.00227,6,0.0783,-9.13,1,0.0256,135.839,4,0.35
19,Cody Jinks,Somewhere in the Middle,1oARvxg8zok0ouEtYb2RuV,0.203,0.589,300493,0.54,0.0,10,0.0819,-5.056,1,0.0227,83.981,3,0.36
20,Brantley Gilbert,Country Must Be Country Wide,454JIJlQ8GvrCoBvSfq3KA,0.0249,0.409,214827,0.765,6.16e-06,11,0.104,-5.696,1,0.0412,83.093,4,0.5
21,Jason Aldean,Don't You Wanna Stay (with Kelly Clarkson),7CZiLgkiVHhFcDkI2Y4lZ4,0.129,0.445,256440,0.631,0.0,11,0.0911,-4.798,1,0.0304,143.846,4,0.152
