,artist_name,track_name,track_id,popularity
0,Topic,Breaking Me,3H7ihDc1dqLriiWXwsc2po,95
1,Kygo,Higher Love,6oJ6le65B3SEqPwMRNXWjY,84
2,Regard,Ride It,2tnVG71enUj33Ic2nFN6kZ,89
3,The Chainsmokers,Call You Mine,2oejEp50ZzPuQTQ6v54Evp,82
4,MEDUZA,Lose Control,7CHi4DtfK4heMlQaudCuHK,87
5,Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,81
6,The Chainsmokers,Takeaway,3g0mEQx3NTanacLseoP0Gw,82
7,The Chainsmokers,Who Do You Love,2fVHrSxsQbJUuj9MW9zG1e,78
8,ILLENIUM,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,76
9,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,80
10,MEDUZA,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,84
11,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,71
12,Gryffin,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,75
13,Sam Feldt,Post Malone (feat. RANI),36orMWv2PgvnzXsd5CJ0yL,76
14,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,76
15,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],35MKhw2YBKApmD7fAnPERC,75
16,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,82
17,Martin Jensen,Nobody,2qfEcCkEo5NscA9GL7ER72,76
18,Major Lazer,Que Calor (feat. J Balvin & El Alfa),1RKZvaLj3UPhGjZkaIrFm7,73
19,Zara Larsson,WOW,3O8b0dDy1Z8BNM81U8DE1j,78
20,ILLENIUM,Good Things Fall Apart (with Jon Bellion),3LxG9HkMMFP0MZuiw3O2rF,69
21,Avicii,SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,79
22,Gryffin,Body Back (feat. Maia Wright),1z1XegUChLLQfcbtIK8ABn,74
23,A R I Z O N A,Nostalgic,65SjaqhfKeFhmXprzlzyn4,69
24,Loud Luxury,I'm Not Alright,7fcEMgPlojD0LzPHwMsoic,65
25,Major Lazer,Trigger,0Z26mbSHJ1dkUu7g9DDgif,73
26,Lost Kings,Don't Kill My High,09yhMTRqQ1I1dniu3PoIQi,67
27,A R I Z O N A,Problems,75ylrnob5O80WTKi9ugZ1Z,69
28,Gryffin,Need Your Love (with Noah Kahan),1vsQb8n0icvMsFnL9663LM,70
