,artist_name,track_name,track_id,popularity
0,Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,87
1,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,89
2,Peach Tree Rascals,Mariposa,4ja2gzrNh9VNigzoXfmbwD,86
3,Dayglow,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,82
4,mxmtoon,prom dress,2xCGBWfzTe8l2kvHpgvB6M,78
5,khai dreams,Sunkissed,1tD8J13a74q8fBqXwAP50j,76
6,Doja Cat,Rules,1TMWcbxL5YF8rKsFHv5hAP,80
7,The Head and the Heart,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,74
8,JAWNY,Honeypie,0rzWENXdfcLTgyt5DByGTy,78
9,Still Woozy,Habit,4BsLwvaJOTOHDNg7xMpvrL,74
10,Dayglow,Hot Rod,0zePbRMJ9sd7wsZRlbPQua,76
11,Clairo,Sofia,7B3z0ySL9Rr0XvZEAjWZzM,74
12,Matt Maeson,Hallucinogenics,6bLU8e0LGyztE9iD5DWBQ1,72
13,Cavetown,Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC,74
14,Doja Cat,Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,74
15,FLETCHER,Undrunk,1Pj5oOFzLYELyyeh1IYRK0,73
16,Wallows,Scrawny,1pNUmVxDiE8t6P1XxcZAv8,74
17,Mahalia,What You Did (feat. Ella Mai),2B7UWqNqKgPVGQQ6FXn2PP,72
18,girl in red,bad idea!,1M4Ud66z18wuIq3oOxqVHa,75
19,Halsey,Nightmare,340UVheS8z3ncW9TTUhAbc,74
20,awfultune,I Met Sarah in the Bathroom,0mr8FAnN9X70p5KRUwMIJx,72
21,Lykke Li,sex money feelings die - slowed version,0dkvbYmXYEPK7gGMdytmfI,74
22,Clairo,Softly,4PvbbMYL4fkToni5BLaYRb,72
23,Clairo,Bags,6UFivO2zqqPFPoQYsEMuCc,71
24,dodie,She,45h4w81P5iJJTSeR0jJUQ8,71
25,A R I Z O N A,Nostalgic,65SjaqhfKeFhmXprzlzyn4,69
26,FLETCHER,All Love,7iv32XEy2HlM7PqQO4lp5f,70
27,Jake Scott,Favorite T-Shirt,55p8TQ1ggGYOO1gLQrC52D,69
28,BANNERS,Someone To You,2f0pn9DkEJwAzXApnFh5cr,75
29,Rex Orange County,Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,71
30,The Backseat Lovers,Kilby Girl,1170VohRSx6GwE6QDCHPPH,68
31,The Band CAMINO,See Through,1pJzl0YsxaWj6BbPs1mUuQ,66
32,Local Natives,When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,68
33,Goth Babe,Weekend Friend,2d3QlXE6FXFDeodiS66yjM,67
34,Halsey,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,70
35,A R I Z O N A,Problems,75ylrnob5O80WTKi9ugZ1Z,69
36,Cage The Elephant,Social Cues,1KuVdyg8d6NlRhbpHxg5UF,69
37,Greyson Chance,shut up,65mPCrY32YMQlBnmWVrKNa,68
38,Souly Had,Crush,0FtuxFKzjbVCQAA3UQZXll,68
39,Wallows,Remember When,5naar7XewEOAjOywIp6Jjq,70
40,Matt Maeson,Cringe,12rhvKDK2FfHTZZ1sSAHDG,67
41,Waterparks,I Miss Having Sex But At Least I Don't Wanna Die Anymore,2Rmw7J0krEU75ffhkaK93D,70
42,FINNEAS,I Lost a Friend,49MMefftWPcltNP4OOJGSs,70
43,Still Woozy,Lava,2dIeraguJ8SoHDqXfSZelZ,67
44,NIKI,lowkey,5TTXEcfsYLh6fTarLaevTi,76
45,half•alive,still feel.,48XkVAagIoQHCsOlJtXUd5,70
46,SiR,Hair Down (feat. Kendrick Lamar),4sFzG7iUlyPmuyASCkre9A,70
47,James Blake,Mile High (feat. Travis Scott & Metro Boomin),4cQrSREMqBSvJ8ZzBZjVb8,70
48,Quinn XCII,U & Us,6SL7KzIA96f0HiKjuv7tED,67
49,Conan Gray,The King,54GASuUdLbhhdyECNUp3Pb,70
50,Lost Kings,Don't Kill My High,09yhMTRqQ1I1dniu3PoIQi,67
51,Boy In Space,Cold,5jYe1mOKg5zUx0enf1DOdz,69
52,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,69
53,UMI,Love Affair,77louqSyp5KhwleVBa0nPW,68
54,The Band CAMINO,Daphne Blue,2FhJvFKyZng57iVQmFayVw,65
55,Jack Stauber's Micropop,Baby Hotline,1R8kvV2AgNPCA2Pp4Im1Ao,67
56,Sir Chloe,Michelle,3sa1wUB8FAkoH95MGPGBWI,67
57,Anson Seabra,I Can't Carry This Anymore,1NNnmmBEaId0uoWfvtNd8F,69
58,bülow,Get Stüpid,4PMLEEYw4mblYsPlDSHKyu,66
59,Fitz and The Tantrums,I Just Wanna Shine,4GZ3YCkuH0VvTluVLwUp4g,65
60,Valley,There's Still A Light In The House,4MIPNDbxVPWdLwH6A4nsiY,65
61,Chelsea Cutler,Summer Love - Recorded at Spotify Studios NYC,3LSnp6mtKiVXCJwsmOvfMd,64
62,The Head and the Heart,People Need A Melody,5tlu2nA8GxkDx8UTKG1rLV,65
63,Gabrielle Aplin,Losing Me,4P6g8wuXeR3wznFk7WnI4w,71
64,SYML,Where's My Love,2NeM9rfWo70KQej9GxeaoL,73
65,Sir Chloe,Animal,1BBe4FJtJJosVeb2BAX0XW,67
66,ROLE MODEL,minimal,28sNP4vXS6EtFr2VKPhCTQ,65
67,FINNEAS,Angel,7iSEz0IIVF5H4KLXIm99Vk,68
68,Sure Sure,Warm Animal,7oiZRx7OZbUAYUiYeFTXrf,64
69,Omar Apollo,Hit Me Up,0Lhy1sDDdtUFY2pyq2ZVi9,67
70,Hoodie Allen,Come Around,2zkhW5YaOPPaPgNWXmjTjF,64
71,Anson Seabra,Trying My Best,06qUEhhx6jKQmhj2qAkn4H,68
72,Halsey,Finally // beautiful stranger,5YvcUK2eXJ2OllqDuEg18S,69
73,ROLE MODEL,hello!,7a2IJHzw9WJjoknwdnCop0,65
74,Alexander 23,Dirty AF1s,6J1jIKelO3HerpKnTEVVMe,64
75,Vampire Weekend,This Life,4dRqYKhLVujxiBXcq50YzG,68
76,Conan Gray,The Other Side,2mAy8zQhZJICLFUEVGQzbE,68
77,Vampire Weekend,Harmony Hall,39exKIvycQDgs4T6uXdyu0,67
78,Cage The Elephant,Black Madonna,4Y6GIje3GErVRIq1Ff5BJq,66
79,SG Lewis,Throwaway (with Clairo),2MnEG4htbbdfoUsyzxZ4BM,69
80,Carlie Hanson,Side Effects,776xH04Us0YBTdspg6C1cP,64
81,Faye Webster,Kingston,0EDQwboQDmswDRn58wcslg,64
82,girl in red,i'll die anyway.,7yyJF1BYBaCifNmO1RGhv7,68
83,Adventure Time,Everything Stays (feat. Olivia Olson),2jnOUdpaFKr9koG1Vtbj6v,65
84,girl in red,dead girl in the pool.,5MAjVARSIDzwz8jFG36hFu,69
85,Witt Lowry,Ghost,6a0JNVksUWTzdQ2H0r9nBd,65
86,Charlotte Lawrence,Why Do You Love Me,2y8iBf0QRqCKFtePi9Rl2H,70
87,Jake Scott,She,2M8Dre5FFAjt43a9NglGgm,65
88,Solange,Stay Flo,6GCIYIWUBSLontW6divqsw,67
89,Doja Cat,Bottom Bitch,1L0z2CQKrKJ2spYSMkfim9,66
90,Arin Ray,Change (with Kehlani),2qhId6ko1ug9A0mw8BQJs8,66
91,dodie,Monster,2MKIadkPrRqaivpyn6cnI0,65
92,SiR,You Can't Save Me,5LKzqs734Xs528hqK8bGS1,65
93,SiR,John Redcorn,5ibTi2YwtvbB1bTOv2I93d,66
94,Lost Kings,Anti-Everything,5d1fRO6RYAtbPPgbpSHnlA,67
95,Solange,Almeda,6IAgarq2wDeYzpsY2Kx0Hw,65
96,Anson Seabra,Broken,1SoR3NCP3P9dtdoTnpPNi1,67
97,Evann McIntosh,What Dreams Are Made Of,4kU3W9CBmw5s7f5R5A8Axt,64
98,Foster The People,Imagination,2flxduIqEbsicdmPyj1WVW,74
99,Cavetown,Home,3XRALl9CNCnjjbCZid2L9w,65
100,Still Woozy,Foolsong,2CO1B7lyEs3lf19hM5gn6x,63
101,Electric Guest,Dollar,0z4zZNViQ01puQOlAFGGUy,63
102,The Unlikely Candidates,Novocaine,4GKcaqt6PFor4siHXMO42e,66
103,Pink Sweat$,Coke & Henny Pt. 2,6Y2Ow3zGW4YcvHs21GThNJ,61
104,girl in red,watch you sleep.,3GIIv6Eo0WSuM9Bxx5DTdR,67
105,Jai Wolf,Lose My Mind (feat. Mr Gabriel),0zEKfIm5b8EUcDM3qoPXKX,63
106,Dayglow,Listerine,5LEVjmo2QweDHc7k19aFcp,65
107,Penny and Sparrow,Eloise,3XnDbrxxtA40HPIIRWLgRT,62
