,artist_name,track_name,track_id,popularity
0,GRiZ,Griztronics,6OTClxme7EYRZGO6An3SMc,64
1,GRiZ,A New Day,6U1BygdznYRLbHibvvllqI,54
2,Bonobo,Linked,3rCtueI7qBN2kZBZnXuk5K,62
3,KOKOROKO,Abusey Junction,6G6gPQ4bGqNj7ZMGUpIDfa,51
4,Al Foster,Our Son,1dsVIoiV96Goqv1jGbJySI,58
5,Scott Hamilton,Forelsket i København,211rvuRnkIpzd5lJNi0LBK,57
6,Paul Moretti Trio,You Go To My Head,4mFe5Dps693mNeAvnyT09T,59
7,Paul Moretti Trio,Someone To Watch Over Me,42yJPYOs9v9OikUdrJyHTj,58
8,SAULT,Masterpiece,07qj9w93jk1eA2TGAd6kxj,58
9,GRiZ,Tiger Kingdom Space Camp,6XgGfrjsyberNzQXTBMLJ6,52
10,ØDYSSEE,Blue Lounge,0sp7jCGXymKybP3oagChyW,57
11,Caravan Palace,Miracle,4trtuxyoMRBjS8wY6PB7OR,50
12,GRiZ,I’m Good,0mEFqF30sAoUNKBgCQcsn0,51
13,KLIM,Ughh,1byvHTv4Tn5RlhbOh4foOH,55
14,L'Indécis,Like Someone in Love,1OHoH9dwgs0hCJ3MutXLRv,56
15,Flying Lotus,More,5vvxulBeCeY49Ha3JThZMj,55
16,John Coltrane,Blue World,5z8eOnPiOC22EYpniAX3Qg,56
17,Gabriel Latchin Trio,Polka Dots and Moonbeams,283h1iiG7BVoKvTVAr5bSc,56
18,GRiZ,Find My Own Way,2YAYt4ZnPa864ULc6eAd2u,50
19,Ray Charles,Here We Go Again,4UpiGzkVYkUieq1JTwFp5m,57
20,GRiZ,It Gets Better,732OcwU2wklgYhHvRKa4k3,50
21,Remulak,Wonka Bar,52rHM2pE7NAcy0BSHeVvCi,55
22,Ennio Máno,Aves,40xybgjTNRocHrl3c8NfuR,56
23,Hara Noda,Catcher,7aCO33Cnj6wLZx31KLfSs3,57
24,KLIM,Sweet Night,3nXvvnbiijvBjuDfuUODB1,55
25,Sudan Archives,Confessions,55DysyWEMxWovEIFYpE9Gd,51
26,CoryaYo,Sage,2jFtrJP90GXPhh38NcZ5ui,52
27,Oakwood Station,Blue Spaces,5LBbKfP2Jf8z7EcEBmqyF7,56
28,Flying Lotus,Black Balloons Reprise,2csZLnXBMuw6ETZuRxdUZF,54
29,Henry Lindon,First Season,0JV4YY8aqwUmDJyPEozdxJ,56
30,leaf beach,Mirage,0ip5iK9MlqO78E5HG5Uhip,54
31,Malina Moye,Enough,1zRuIXX0O8b0dN76VDGcnu,48
32,Axian,Flight,7zYv7Uxgzbl0E8akrZKhQX,53
33,Rick Braun,Brazz Street,0DBK1x25hl1TF98wRb7j8u,51
34,GRiZ,I Like That,7oj2CO5YpP803iNqWHgEsi,49
35,Maxeen,Mo' Better Blues,3CGqAtOKUe4pn3j9kOKp4J,56
36,Eric Reed,Up Jumped Spring,4NAhOoe6Tp5SU4z0r7Nygx,54
37,Melodiesinfonie,Ensnared,1p5jbuZMzTZUXOlmI8VRIl,54
38,Joshua Redman Quartet,Come What May,4CY09ZCdgvjtCaw0fGITbN,53
39,Cap Kendricks,Yoruba,2GcHlqRkqpQOQAMrJ6XNcj,55
40,FloFilz,Hoxton Hoops,5oRqxClXoZB77vvENaqDAB,54
41,GRiZ,supadupakulavibe,0IZcBw4yxmia7UjakLEaAc,49
42,yeyts.,In Here.,5H8QUv9JXsi9aPEFxt3NBZ,53
43,Cindy Bradley,Stockholm Summer,7nDChpaHBKx9ZCJmEcTdtX,47
44,Mark Sherman,Ev'rytime We Say Goodbye,72KHUsa4UyTXpSf7jRb1ih,53
45,SAULT,Why Why Why Why Why,4zwq3QUKgMNk0NSLl7fpbP,57
46,digitalluc,meditate minds,5Y4nAJYenoA15vWtRJllMP,54
47,GRiZ,Can’t Get Enough,6qcTBJCVLQwATrFFBapcyf,48
48,Eric Reed,New Morning,4aUrYkpfMzm2DVfG1Pplzk,53
49,Blake Aaron,Fall For You,7qqamkny8IkXOCJrhjy73L,51
50,MF Eistee,sand,2MsXZzHVDQ0NJRA2x2S7QT,52
51,Cindy Bradley,I’m All Ears,6P41vUr7mSHjAxkmY844g6,46
52,Leslie Odom Jr.,Standards,1EbMl1lTLt0wqcbAm5DULP,49
53,Ennio Máno,Light Dance,7wHsraPGARpUvcRW8holDn,58
54,Caravan Palace,Moonshine,13CxBgSBcYey7h2SQXe9xV,45
55,Yoko Miwa Trio,Sunshine Follows the Rain,3bv4j1lmo6yVChahz9crt3,52
56,Jan Harbeck Quartet,Lighter Shades,4cG4S3LHdqibrEXgj87ZNx,51
57,Ennio Máno,Ages Ago,0CMPb56yOXSCwSz5AV4LPq,55
58,Reginald Omas Mamode IV,In Search of Balance,1WtqqHt56aBADneAp2ono7,50
59,Alfio Origlio,Absyrations,14JAGLLamVp9p3EJaRYPfj,52
60,Vandell Andrew,Just Once (Radio Edit),0gg4oTlnC2lKRPtxcZ43Cn,50
61,CMC 3,Love Is Here To Stay,418awaNpluyE2Lvoh6lD0p,55
62,The Josh Rogers Band,Love Letters,63UFSr8E41KodHZ0i618am,53
63,Hara Noda,Dreamin',6oJ3j2m4kCHpMZhOY5jx8d,55
64,Brendan Rothwell,Think of You,73p8Mzp41RUDQtbe52JWHu,49
65,Deeb,Stuck,7p4PfzeVQpF0g0EnNuc7HT,52
66,Jim Snidero,I Fall in Love Too Easily,2BjX0EYypxakiidBW18QmC,51
67,Caravan Palace,Plume,5EHMAsay2yotO9ASrXJJaj,45
68,Zero 7,Swimmers,3RMuJ4qdkgs71mBNbPpZu0,55
69,Kendrick Scott Oracle,>>>>>>Becoming,07BmM24UshepfB2PeBxu7Y,51
70,Terrace Martin,Beige,3dvRD7tnKF9Kxocks07jue,49
71,Helge Lien Trio,Popkoral,6escBA2tVhUpcc2M5YmtVk,50
72,HNNY,By,5C4sp6JprCFTO9ZQcg4qXs,55
73,Gregory Goodloe,Stylin',40UbNyeFo1F7ETJ4zLi14e,48
74,Paul Moretti Trio,Cheek To Cheek,78o2G1cLO9ypQ859uIxzyD,53
75,Branford Marsalis Quartet,Cianna,25cJePcRAgKUKtjH8Wm1MQ,51
76,Walt Weiskopf,Soultrane,6zGdwLL45Du0d9WXLtfTUD,51
77,Steve Davis,Peace,1y0FhVFVZ2eG82sn0M7H7v,51
78,Trio X of Sweden,I hoppet sig min frälsta själ förnöjer (Hope Gives Rest to My Redeemed Soul),2aBs7AY3wQ6pSxlfYOcfeb,51
79,L'Indécis,Second Wind,02u9LupbcUXwrQfGH0Q9ub,52
80,Scott Hamilton,Pure Imagination,7iP9VLNBi1M52IFT8ZCyAa,52
81,Julian Vaughn,Black Dynamite,6GAkD2g89uH0bLwiDw5hrP,44
82,KOKOROKO,Ti-de,679DH2dDS6VPrVzJKS6obT,43
83,GRiZ,Maybe,1Qk0bpqt5hsjC5Dv4f9PRn,45
84,The Pharcyde,Passin' Me By,5Uyb2qY1O0f4nWkewBU3bx,48
85,Jack Rosenbaum,Schnitz n´Schniggles,3BoKHF4H6OG9lSWKa1Scq3,56
86,Lettuce,Everybody Wants to Rule the World,7eDa4ResDPNOPAs2mzwz7B,45
