,artist_name,track_name,track_id,popularity
0,Falling In Reverse,Popular Monster,4GssB27iJeqmfGxS94Tfij,76
1,Slipknot,Unsainted,5mpUKTdskZea0gStWzeHUZ,75
2,I Prevail,Hurricane,2GFwwTIVLjnOrtP7m9luHC,71
3,Motionless In White,Another Life,0YZEYxd1oiqZRFhnnmTKKi,70
4,Five Finger Death Punch,Blue on Black,7nioCrPVTkYopUB1rTvtK1,65
5,A Day To Remember,Resentment,57yI1u6t6cFXbjgjQcRHug,69
6,I Prevail,Bow Down,5qD3Qv8Wu3r5uRD0DahcZy,69
7,Slipknot,Nero Forte,56fiFTRrSiHHH3gBeaTg2P,70
8,I Prevail,Breaking Down,4bE3cBcwAe7T5SklvbkiYZ,66
9,Falling In Reverse,Drugs,5BkCDt5w0WOGgBgDC7T39i,67
10,Bring Me The Horizon,Ludens,2eZjO58Qe9og2xmyfw4qwJ,71
11,I Prevail,Rise Above It,6QyBWey7P8ILuhS5RO7xYe,66
12,Nonpoint,Bullet With a Name,1jv1Dfe0lS4c1Vql3n9Ssz,63
13,TOOL,Pneuma,03sEzk1VyrUZSgyhoQR0LZ,67
14,A Day To Remember,Degenerates,77Ht6FFAeyHgKl6X87mnTk,65
15,Bad Wolves,Killing Me Slowly,34lLAsdH4Y5TLf1B2SIj1I,65
16,I Prevail,Gasoline,6Q1m1GyNxyOwZ2ud3p7XoS,66
17,Bad Wolves,Sober,6Uaqf3LCwuVebfm5u3ndq9,63
18,TOOL,Fear Inoculum,39zWYYZStDgWi32sOU9AX4,64
19,Motionless In White,Brand New Numb,0vPkRB52RENZMpHybpFKYK,64
20,The HU,Wolf Totem (feat. Jacoby Shaddix of Papa Roach),3NMel0L1RZfekf2wLABmj2,64
21,I Prevail,Paranoid,7dENhnDxTHnzGtpMrsJ72w,64
22,Skillet,Legendary,2pYaGdqXBrl8MdvuwgtBb7,68
23,I Prevail,Every Time You Leave,5icbZiF6lcuEORG0UzMsS2,63
24,Bring Me The Horizon,MANTRA,060RNnzoMay3wKJek1faPc,68
25,Five Finger Death Punch,Inside Out,4Htt3QaBWdLggq88rJI5MU,64
26,Asking Alexandria,The Violence,0C5X8RJXZNuGO2CfQJumb5,62
27,STARSET,TRIALS,23wrmyJ1S2sjeh2dFN5P9k,63
28,Slipknot,Solway Firth,6WCkyaVmut83CtBFEUhDo4,65
29,Wage War,Low,3gRwYAsiX4e50J43BkmZxI,62
30,As I Lay Dying,My Own Grave,0CcqWuAEJC93K8cBMbAjgI,63
31,Ozzy Osbourne,Under the Graveyard,0C4bx13JIMSWOAxd8TaoVq,62
32,Papa Roach,Come Around,6Mf8ozEDo35UcgKgKajrBY,62
33,Motionless In White,Disguise,6LNKeK9iJ66iwe16VxG43H,62
34,Dayseeker,Sleeptalk,2NDH7pMWv3UQHOCN4tnXbI,61
35,Korn,You'll Never Find Me,0xcF2mC6MktbXOT7kRiXoF,63
36,STARSET,MANIFEST,4a8hN7I0sLKib8C5wCuxwE,62
