,artist_name,track_name,track_id,popularity
0,Falling In Reverse,Popular Monster,4GssB27iJeqmfGxS94Tfij,76
1,Panic! At The Disco,Into the Unknown - Panic! At The Disco Version,421eObjg0DTm2qajJl5OJm,75
2,Waterparks,I Miss Having Sex But At Least I Don't Wanna Die Anymore,2Rmw7J0krEU75ffhkaK93D,70
3,A Day To Remember,Resentment,57yI1u6t6cFXbjgjQcRHug,69
4,A Day To Remember,Degenerates,77Ht6FFAeyHgKl6X87mnTk,65
5,Falling In Reverse,Drugs,5BkCDt5w0WOGgBgDC7T39i,67
6,Cage The Elephant,Black Madonna,4Y6GIje3GErVRIq1Ff5BJq,66
7,blink-182,I Really Wish I Hated You,6KWcq5p0wsz97N3eoRUSH6,65
8,Weezer,Lost in the Woods - Weezer Version,227zkOoNpqRrzEPxvVRiF5,66
9,The Interrupters,Bad Guy,0iM1Ioz4N4p7MU1DKyqsov,69
10,The Black Keys,Lo/Hi,25YlltWXRb9k7KbrEBRuhJ,65
11,Weezer,Africa,3ZPKocroJIcnHGcnJVlLKD,63
12,Surf Curse,Disco,644hazYIWNQq4URUn7CPnQ,64
13,blink-182,Darkside,39n1y2JqVOPIdfUeLqzgfl,64
14,Waterparks,Turbulent,4ig3DcNoj3UfPdhL2Rw9J1,62
15,Papa Roach,Come Around,6Mf8ozEDo35UcgKgKajrBY,62
16,Simple Plan,Where I Belong (feat. We The Kings),6XbmIuDxm4gWpVYoGg5DQX,61
17,The Garden,Thy Mission,7LcmuGeSXQzQlteW3yGtWb,60
18,The Black Keys,Shine A Little Light,365TSrFPqM66giaxJuafR3,63
19,Set It Off,Killer In The Mirror,0x2TYePnFyfZ9ajY2WMkby,61
20,Neck Deep,She's A God,3rmVrevtGa5y7wieirt7rZ,59
21,Our Last Night,When the Party's Over,0osktpHbjYekkM80pQkzbd,60
22,Cage The Elephant,Night Running,0wSmZykDgah7GfaUNZUZCb,60
23,blink-182,Happy Days,6GHAAp25FcGdaHgAn8rTif,59
24,blink-182,Blame It On My Youth,5vGtrfeMjb03aDHGDaIakG,59
25,Our Last Night,Someone You Loved,6TeB7j56k4AbELOl3G4zfj,60
26,The Black Keys,Go,2GuXIMRlaxVLcU0a5jacHw,59
27,White Reaper,Might Be Right,5YTDnlr6qzl0XIGCqHP7sx,57
28,Dance Gavin Dance,Head Hunter,5HllOy0J5LuH96EzMLGCPe,56
29,Sleeping With Sirens,Leave It All Behind,5J1tThACf3JLPc3cC1neEH,59
30,Broken Bells,Good Luck,2apLrBlEQvFa8ob0dQcu6i,61
31,Sum 41,Out For Blood,30XUVaCG8ghAiE45SnXLhn,62
32,Fall Out Boy,Dear Future Self (Hands Up),1tm4Bl2E5RwTevOiBs4gtH,59
33,Sleeping With Sirens,Agree to Disagree,58Eyr2rZWIYM19qhpals74,58
34,Cage The Elephant,Skin and Bones,6ubPFMzlIg73d1jzzWcC8B,57
35,Set It Off,Lonely Dance,6eyLQjQrZ1Rk86e5WmCMrx,58
36,Neon Trees,Used To Like,6CNvzo37dUI7baavVzEoxR,56
37,Bratmobile,Cool Schmool,5SQhahcpnWJ6AXZ1N4YIvT,56
38,Weezer,Take on Me,1ZB2qWsheGabSEYvBYxjKn,58
39,blink-182,Pin the Grenade,330cmrgtnIj4NtPTYdDOZv,56
40,Arcade Fire,Baby Mine,1UU3IpxOVpjjHdoQjchpgX,58
41,We Came As Romans,Carry the Weight,17aUTUaDHrwv49PViccjy9,57
42,PNAU,Solid Gold,7DQ5CZjAQdhgDgdnSXxJ7Z,65
43,PUP,Kids,6Dgix2xCbnqigfrjulm24R,53
44,Point North,Never Coming Home,0yNBLz1uAyx4FCxkdkQcqf,54
