,artist_name,track_name,track_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Train,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,2010,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4
1,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),0b2IVjeD268pYd7VUhmtKI,2010,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99,203173,4
2,Neon Trees,Animal,1fBl642IhJOE5U319Gy2Go,2010,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
3,Two Door Cinema Club,What You Know,3UjtIALeg72qmJiKPWBvM3,2010,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,191707,4
4,Cody Jinks,Hippies and Cowboys,72Fnsr9pkCyXCmY3BS7sbx,2010,0.698,0.586,5,-5.066,1,0.0278,0.0504,0.0,0.295,0.623,115.081,300680,4
5,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,7LcfRTgAVTs5pQGEQgUEzN,2010,0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047,201160,4
6,The Black Keys,Howlin' for You,0grFc6klR3hxoHLcgCYsF4,2010,0.705,0.735,11,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627,191800,4
7,The Band Perry,If I Die Young,4u26EevCNXMhlvE1xFBJwX,2010,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,222773,4
8,Zac Brown Band,Colder Weather,23hDnIFoFlVTDA6y8YrJoR,2010,0.667,0.381,3,-7.494,1,0.0294,0.455,0.0,0.116,0.199,135.975,273893,4
9,Train,Marry Me,2MWOqewf5j0qf2b6S5J6cS,2010,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,205453,4
10,Two Door Cinema Club,Undercover Martyn,0Hrd6CSafHHqKptyFppmqH,2010,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,167773,4
11,My Darkest Days,Porn Star Dancing,3Q8zopc4ABXhysDb1sgLVW,2010,0.477,0.917,2,-3.399,1,0.0814,0.0139,0.0,0.0756,0.267,160.021,199013,4
12,Rodney Atkins,Farmer's Daughter,5zGqTc1WQUe8XqqdnrpKTV,2010,0.612,0.791,6,-3.519,1,0.0291,0.224,0.0,0.112,0.786,133.977,207040,4
13,Dr. Dog,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,2010,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,234800,4
14,Sick Puppies,You're Going Down,5omWAB5iNMHvbAfBSzkdu8,2010,0.488,0.842,6,-5.926,1,0.0469,0.0116,0.00127,0.146,0.41,90.003,187347,4
