,artist_name,track_name,track_id,popularity
0,Rick Springfield,Jessie's Girl,09gHUy89ZYvZm2M89pldIt,48
1,Fleetwood Mac,Madison Blues (Version 1) [Live] [Remastered],2CpsUNxIeiC5lYCbk216X7,41
2,Fleetwood Mac,Something Inside of Me (Live) [Remastered],7kwvMH3rkNmptCsQMIyepS,39
3,Player,Baby Come Back,3L2nd60IUKk9GMVlMcSoDv,32
4,Fleetwood Mac,The Woman That I Love (Live) [Remastered],6RaIYWyLXWdzS4zGCIp6fV,37
5,Fleetwood Mac,Worried Dream (Live) [Remastered],609zyrS2WWAb1xubeaLu4T,37
6,Maxus,Providence,1BLtjqC395BGzSKlLtNucx,29
7,Player,Baby Come Back,48VaaUAkg1OFjjAmAsdK7T,29
8,TOTO,Chelsea,6QsaoM6upioGbe4WZhLCmc,41
9,Maxus,Feelings,1GRZtC4qxL7dGH03LiECpK,28
10,Fleetwood Mac,Dust My Blues (Live) [Remastered],52ZfdAnIu8ladQayEbAY92,35
11,Fleetwood Mac,Got to Move (Live) [Remastered],5fTXYZRoS5bvuMLckFYBHB,34
12,Fleetwood Mac,Trying So Hard to Forget (Live) [Remastered],2v6EwkD0aowRWwIW3nbNEp,34
13,Fleetwood Mac,Instrumental (Live) [Remastered],2HukpPfn8765wbkzCoVqaU,33
14,Fleetwood Mac,Have You Ever Loved a Woman (Live) [Remastered],4n2Tg72baVuFKcs7w8Qz4I,33
15,Rupert Holmes,Escape (The Pina Colada Song) - Single Version,1REZCqaScFvlosol2KRWXK,32
16,George Benson,Blue Monday,5Wcok0QmE9Mx25QU7QvFzq,32
17,Fleetwood Mac,I Loved Another Woman (Live) [Remastered],2E14lpeXNeNScHWl084D0w,31
18,Fleetwood Mac,Lazy Poker Blues (Live) [Remastered],4wthr2NaTb0WxAn1viBctt,31
19,Fleetwood Mac,Stop Messing 'Round (Live) [Remastered],4dX6IOb6uoZo8WKRoDCuZm,31
20,Fleetwood Mac,I Believe My Time Ain't Long (Version 1) [Live] [Remastered],0PtLdEnrBD4FwZKeyOTvms,30
21,Fleetwood Mac,Willie and the Hand Jive (Live) [Remastered],0jZs9WlyCROiWApoNg3gVW,29
22,Fleetwood Mac,Long Tall Sally (Live) [Remastered],5CsX0OQX0wRV0VaptJ4lEP,30
23,Fleetwood Mac,Sun Is Shining (Live) [Remastered],3LNm3IQ3yfdlAiQwIcdNES,30
24,Fleetwood Mac,I Need Your Love So Bad (Live) [Remastered],29kCBZMlFK6bAOIuIqXxxH,30
25,Fleetwood Mac,I Believe My Time Ain't Long (Version 2) [Live] [Remastered],2Tb6AyfTFgp9Wj3nH61k91,29
26,Fleetwood Mac,Shake Your Money Maker (Live) [Remastered],2mfhygiEDr8zKKTDW8mxcI,29
27,The Doobie Brothers,"Listen to the Music - Live at The Beacon Theatre, New York, NY, 11/18/2018",1m9LekCB6IoU53umU4GhFx,26
28,Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,3y8Z2sOJrBt6yKEfsZG1NY,34
29,Fleetwood Mac,Before the Beginning (Live) [Remastered],5tIHM4AZGOGqJoiZdKqNRx,27
30,Fleetwood Mac,Madison Blues (Version 2) [Live] [Remastered],0nRDxXh9J1Tz4ZsVxQ6e3P,27
31,Fleetwood Mac,The Green Manalishi (With the Two Prong Crown) (Live) [Remastered],7dHbhuvedWmbqgntDlumhK,27
32,Fleetwood Mac,Can't Stop Lovin' (Live) [Remastered],2K5zNuJ9DIWsIOU7Ab8GVs,27
33,Philip Bailey,Easy Lover - Extended Dance Remix,0A4Yr0WGzJQuqFhRqdhjPE,33
34,Fleetwood Mac,World in Harmony (Live) [Remastered],7afQS6uD42Jp28VmgEadb8,26
35,Fleetwood Mac,Sandy Mary (Live) [Remastered],15rbjr3tWGa5hCCcY1Ui9l,25
36,Nicolette Larson,Lotta Love - Jim Burgess Disco Mix,03LllwDLW6JtjGmPJBF9dP,29
37,Fleetwood Mac,I Can't Hold Out (Live) [Remastered],756i1ZtosadC5uxQljmHaZ,25
38,Fleetwood Mac,World in Harmony (Version 2) [Live] [Remastered],75yCBcpjGc5aa3hI4LSEQ4,25
39,Timothy B. Schmit,The Good Fight,2GAyJMvILnEKh6AMp5ZSKH,25
40,Fleetwood Mac,Underway (Live) [Remastered],73qsFCg5SlBcbMJpKr6eRx,24
41,England Dan,I'd Really Love to See You Tonight,2JPrjHtf465RbsFe8klBFB,26
42,Rick Springfield,Jessie's Girl,2ain17KvXFU90Qgfa4ZEId,47
43,The Doobie Brothers,"Mamaloi - Live at The Beacon Theater, New York, NY, 11/18/2018",6oZreQzAmDcbmqmd5lSNaZ,21
44,Bobby Caldwell,What You Won't Do for Love,49ih3pmC7z5YlY9WrvK40W,23
45,The Doobie Brothers,"Toulouse Street - Live at The Beacon Theater, New York, NY, 11/18/2018",0X2VFyLXXlAeruKP6Zj1Zk,20
46,Fleetwood Mac,My Baby's Sweet (Live) [Remastered],6mYbR9Vh8KBcNEVJWBoG3N,23
47,Daryl Hall & John Oates,She's Gone,2kCVhBy74kplh8uFvIGj19,20
48,Fleetwood Mac,You Need Love (Demo) [Remastered],2JqHlzGkTjLRxA7BfrtEtP,23
49,Fleetwood Mac,Homework (Live) [Remastered],0fz36FQ5KwCl0hMWb641sU,23
50,Fleetwood Mac,Homework (Live) [Remastered],0fz36FQ5KwCl0hMWb641sU,23
51,Chicago,(Because) It's Christmastime,3NaBhXIHXiBR1eILI8R4hs,19
52,Fleetwood Mac,Talk With You (Demo) [Remastered],5CD6huXlCbeMeZXb0wvTbc,22
53,The Doobie Brothers,"Long Train Runnin' - Live at The Beacon Theatre, New York, NY, 11/18/2018",5VHy7na8dqcYBqd094Pk5G,22
54,Joey Scarbury,"Believe It or Not (From ""Greatest American Hero"")",3TWGcJCgJsoY5SC2Alsae5,21
55,The Doobie Brothers,"Cotton Mouth - Live at The Beacon Theater, New York, NY, 11/18/2018",4iO5sRr34snvddMYzEMmum,19
56,Fleetwood Mac,My Baby's Gone (Live) [Remastered],2rGld3cZITsCvcjFf8AZHJ,23
57,Player,Baby Come Back - Single Version,74yInVqURu3kSNZhgirgy2,15
58,Philip Bailey,Easy Lover - Extended Dance Remix,13nSZolFA75GvD2dOtP7QM,27
59,Bobby Caldwell,Loving You,3x92g25NItgalYhJOce7eK,22
60,Fleetwood Mac,If It Ain't me (GK Edit) [Demo] [Remastered],6a6mGXpnKQznpxuiUfEiNN,22
61,Donald Fagen,I.G.Y.,5i75o1AXQEmB7cQTkMIH0n,16
62,Philip Bailey,We're A Winner,16aQQg5CvsJCQWhDutHO9b,24
63,The Doobie Brothers,"Don't Start Me to Talkin' - Live at The Beacon Theater, New York, NY, 11/18/2018",1MB1OawAIbdtRTpeFrJUsa,19
64,Fleetwood Mac,Mean Old World (Demo) [Remastered],1q7dF0XMh3u6hbhiTLYOdE,22
65,Dave Mason,Jezebel,2ym7DKy6RcVu70cSQDNNuf,19
66,Chicago,All Over the World,3VPoX3ZkvUPuvND7xoyMeO,18
67,Bobby Caldwell,Without Your Love,5JDab80hFWGTjQrCzsTuoo,22
68,Christopher Cross,Ride Like the Wind,4QeMDAJhY8KIuNBtoTSTE5,23
69,The Doobie Brothers,"White Sun - Live at The Beacon Theater, New York, NY, 11/18/2018",5vdxboOsjqlN3QkJXi1GpP,18
70,Bobby Caldwell,Janet,4qmHT5oW7t7nn7CoK6yBZO,21
71,The Doobie Brothers,"Black Water - Live at The Beacon Theater, New York, NY, 11/18/2018",7t9DgDC1mvoixGFBjRQPGb,17
72,Christopher Cross,Sailing,1E6Dh1mavhEqd4QKceHrf4,16
73,Paul Davis,Six Days on the Road,4KUZRwmSY1PaSxGf0rbGfd,14
74,Rupert Holmes,Escape (The Pina Colada Song),3MmWNkW8letfhdUSWBqZvZ,18
75,The Doobie Brothers,"Natural Thing - Live at The Beacon Theater, New York, NY, 11/18/2018",6WkALbGdLGoUysdL09Uxto,17
76,The Doobie Brothers,"South City Midnight Lady - Live at The Beacon Theater, New York, NY, 11/18/2018",3DHnxwJ2DWHKVy57hfERp8,17
77,Chicago,Bring My Baby Back,4YSOSVOzNiXBUzODe79pDD,16
78,Eric Carmen,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",3aJxW03o5ZLNUilcsj3MHp,28
79,Bobby Caldwell,What You Won't Do For Love,0dpalQs9Hc3pRClmsT08hI,13
80,The Doobie Brothers,"Snake Man - Live at The Beacon Theater, New York, NY, 11/18/2018",2FkHh4kzeZC5NySbqoLfGZ,17
81,The Doobie Brothers,"Dark Eyed Cajun Woman - Live at The Beacon Theater, New York, NY, 11/18/2018",6x8TYae2HqxrYd1cj1GKUo,17
82,The Doobie Brothers,"Ukiah - Live at The Beacon Theater, New York, NY, 11/18/2018",3dz4xdmO2eyyDI751zcoGC,16
83,Little River Band,Cool Change,0crmIUS8bAE6rWPII492pg,13
84,Chicago,Sleigh Ride 2019,7xzC6PBdbjvQVOeL7KIPrz,16
85,Bobby Caldwell,Cry,37ltFq8LSymL2z37wvEh9k,19
86,Bobby Caldwell,My Flame,0WFY6y7dmFghhFmcNoiHjc,19
87,Walter Becker,A Little with Sugar - Remastered,4JNF3ItglPAOcjs9ZTwu9C,19
88,England Dan,Love Is the Answer,3GoYjOiLRElBiAoKQWuJT9,14
89,Walter Becker,The Mock Turtle Song - Remastered,1X3G0ikUSRoTWJZ0IhMrJD,19
90,TOTO,Africa,6asm3WWq2hZYQtbh1etssN,13
91,Chicago,What the World Needs Now Is Love,6FW5YHLxCeLO99zRJYTygb,16
92,Kenny Loggins,"Footloose - From ""Footloose"" Soundtrack",3E5ySsZ0Cf8OasdgJpECIl,13
93,The Doobie Brothers,"Clear as the Driven Snow - Live at The Beacon Theater, New York, NY, 11/18/2018",5jdwY05igLQov7xuWLNgGS,16
94,The Doobie Brothers,"Listen to the Music (Reprise) - Live at The Beacon Theater, New York, NY, 11/18/2018",5valNXON3kXo3TJf2QVGJQ,16
95,Nicolette Larson,In Love with You,7bTP7SYcsIFPwsD8Q7X8Yb,16
96,Bill Champlin,Sara,4bxWhkph4ctSKOAON75bEz,12
97,Billy Ocean,Caribbean Queen (No More Love On The Run),6HR1ATY9bWCTkmfGG5ykye,13
98,Bobby Caldwell,Once Upon a Time,5UCAlPUMYHNAxsuhIucQJu,20
99,Bobby Caldwell,I Give In,6Ia7P8dVMObOet1iNaEmaf,20
100,Rupert Holmes,Escape (The Pina Colada Song),2E8mUhxhdpOMf0t9uXPaC1,12
101,Rupert Holmes,Escape (The Pina Colada Song),4wBr0DgFLzBqU7Jo5yshZO,31
102,Chicago,"Merry Christmas, I Love You - R&B Version",2cN99dV1XqeRSSelGO5gh3,15
103,Kenny Loggins,This Is It,2lke5xBPvUFdH4QTfHTXK9,12
104,The Doobie Brothers,"Take Me in Your Arms (Rock Me a Little While) - Live at The Beacon Theater, New York, NY, 11/18/2018",4gcpljp0vxPPQgMCyiUei2,16
105,The Doobie Brothers,"The Captain and Me - Live at The Beacon Theater, New York, NY, 11/18/2018",6mLyDJPHiKoaefgTuLAmFO,15
106,Orleans,Dance with Me,0Isv8NbM4Sqo7hjiVkUNlK,14
107,Philip Bailey,You're Everything,676yPpKx9leVQWf5vFSvS7,21
108,Philip Bailey,Billy Jack,3PHaQTfvPQrJdsuIVEOQjA,20
109,England Dan,Love Is the Answer,4ejSA48tDr0f2IoGLxN2QB,21
110,Chicago,All Is Right,6v4XqVDoYM4QUFaH31EDJd,15
111,Daryl Hall & John Oates,She's Gone,66HI7cC75MJ1LxxyLWXbrG,13
112,Chicago,Wishing You Were Here (Single Version),62IxtM8kD6lxvBqFVnciW6,12
113,10cc,I'm Not in Love - Edit,1rz9156I4uht5G1ckiHaXh,12
114,Bill Champlin,Runaway,5aDGBT50J6VVr1bSLSF5dq,12
115,George Benson,Nadine (Is It You),1wjdXtP5kamJw4pleonkq5,22
116,Rick Springfield,April 24th 1981 / My Father's Chair,76xYtYUX9CGpYjBSG9epOE,15
117,England Dan,Why Is It Me,0ySYWxylrcWcXSdmQk5ZA7,22
118,Daryl Hall & John Oates,Overture/ The First Noel,5ZUDVSutKVdLSvLfpUhgl8,14
119,Rick Springfield,Affair Of The Heart,6VSqDJFLzgi8qB13XpxH0y,15
120,Christopher Cross,Ride Like the Wind,0ckZ6dWRkMbBI3JhTjYZvM,13
121,TOTO,Africa,6IxVBuU77tPkhhFeh0SLMd,17
122,Fleetwood Mac,Madison Blues (Version 1) [Live] [Remastered],1A2Ca5Ewr4LZKRQbeV5yFF,18
123,Gino Vannelli,I Just Wanna Stop,4wqjOIM5uQCFAWJdoyE1qX,10
124,Pablo Cruise,Love Will Find A Way,6A4cMpe2JHzgiYrvsCKUSS,11
125,Rick Springfield,Human Touch,1ICvS8GZHTgi1qByFqBw94,15
