,artist_name,track_name,track_id,popularity
0,Eagles,"Lyin' Eyes - Live From The Forum, Inglewood, CA, 9/12, 14, 15/2018",6HUKWXF2vuiXB7Der7NtW6,44
1,Eagles,"Hotel California - Live From The Forum, Inglewood, CA, 9/12, 14, 15/2018",13NVSlzMxev8JUJUi8KgKd,34
2,Christopher Cross,Ride Like the Wind,5qThjmXZhtmInboUYadbUe,0
3,Christopher Cross,Arthur's Theme (Best That You Can Do),5scB9qyNOJnA1jGXWLRNbx,0
4,10cc,Dreadlock Holiday,3OwDKfO9dceTUkjcgUI4rt,1
5,Robert Palmer,Early In the Morning,5Sws6tL6bYb8iaT0OTTFIf,0
6,Robert Palmer,Addicted To Love,30MDjjVkuGcao5kDXJoDoq,0
7,Robert Palmer,Addicted To Love,1LN5RdJA7OgpQNKi8hKzTs,0
8,Robert Palmer,Addicted To Love,5OpisWy28NH8IbR74EAmy0,0
9,George Benson,Give Me The Night - Live,1Jxc5wGw8GYeiwr551Y0GG,22
10,George Benson,Cruise Control - Live,6FoJpreAj9wvUEugf6LKw9,32
11,Little River Band,Help Is On Its Way - 2010 Digital Remaster,5c7bsNaYXiWmY69NRzGIR4,1
12,George Benson,The Ghetto - Live,6ziEnCzsj9C7T7DijKJoV4,21
13,Seals and Crofts,Intone My Servant,33FVQaaxh5smiq5Z43QS4W,0
14,Michael McDonald,I Keep Forgettin (Every Time You're Near),181F8WA6tzc1OXMdHkuA2h,0
15,Billy Ocean,Daylight,5UilQUp8KdHEXLJQ8duFmL,42
16,Billy Ocean,Love You More,6uAu7A0dkfq8FFhk7KLxJJ,38
17,Billy Ocean,When I Saw You,50fJvaybO5iBztJ54FpkW9,25
18,Billy Ocean,We Gotta Find Love,0TyXBdGk2qGLrZLWcj8qJd,32
19,Billy Ocean,Mystery,07vjs8esBKNHgxuDd3JdHO,30
20,Billy Ocean,One World,3cConuU9G8gK4vwS1eXYmO,28
21,Billy Ocean,Can't Stand the Pain,0iPUbo1QSupF8gvMyNaWpN,23
22,Billy Ocean,Feel the Love,3IyG2tlWEJcZ6dp5NdPE11,26
23,Billy Ocean,Nothing Will Stand in Our Way,2sUSaeZi2bkWLpx8pM1eEy,24
24,Billy Ocean,Betcha Don't Know,3xhGotdrieYpwv8G38fCXX,23
25,Billy Ocean,All Over the World,0OU0IxiJ1kY7708t22ocVP,25
26,Billy Ocean,Missing You Everyday,31Xkt7FocS8uIreP14XDPr,24
27,Billy Ocean,We Gotta Find Love - Acoustic,6MFLBfV0KDLVogLQIT5EcU,10
28,Al Jarreau,We're In This Love Together,3hZcD0lizfsGf23QJCSlSu,0
29,Al Jarreau,Agua de beber,768W6kEyYQltGX6hVtlg6A,0
30,Daryl Hall & John Oates,Angelina - Demo,2hqVSWglOnn0hirn5ZsetA,43
31,Chicago,25 or 6 to 4 - GoArmy Remix,1ckMa8QqCZ3xcN7uczxBPm,43
32,Michael Franks,Lip Service,2FjGPxJEJxR5tGwtsh5487,0
